,human,rt,typical_name,oddity_name,category,it,v4,pool3,pool4,pool5,fc6,fc7,fc8,check,marker
50,0.9393939393939394,2125.7272727272725,rdbarren,_01_Airliner_2jetEngines,planes,0.72,0.55,0.64,0.64,0.64,0.94,0.98,0.86,"('rdbarren', '_01_Airliner_2jetEngines')",771
51,0.7916666666666666,3264.4166666666665,face0002,face0006,faces,0.23,0.44,0.21,0.21,0.21,0.25,0.16,0.17,"('face0002', 'face0006')",895
52,0.8928571428571429,3461.1428571428573,face0008,face0004,faces,0.29,0.05,0.27,0.27,0.27,0.16,0.2,0.17,"('face0008', 'face0004')",1101
53,0.8275862068965517,2717.862068965517,_011,_008,chairs,0.41,0.25,0.35,0.35,0.35,0.69,0.71,0.56,"('_011', '_008')",433
54,0.8484848484848485,2704.6363636363635,_001,_008,chairs,0.65,0.41,0.34,0.34,0.34,0.8,0.68,0.55,"('_001', '_008')",286
55,0.95,2703.65,breed_pug,hedgehog,animals,0.9,0.33,0.45,0.45,0.45,0.97,0.98,0.92,"('breed_pug', 'hedgehog')",241
56,0.8333333333333334,4081.0666666666666,_05_future,_01_Airliner_2jetEngines,planes,0.64,0.32,0.31,0.31,0.31,0.46,0.46,0.5,"('_05_future', '_01_Airliner_2jetEngines')",597
57,0.9310344827586207,2578.344827586207,blCow,GORILLA,animals,0.8,0.38,0.49,0.49,0.49,0.99,0.99,0.92,"('blCow', 'GORILLA')",181
58,0.9615384615384616,2206.8076923076924,_008,_014,chairs,0.95,0.28,0.3,0.3,0.3,0.87,0.84,0.84,"('_008', '_014')",370
59,0.8275862068965517,2995.4827586206898,mig29,_19_flyingBoat,planes,0.48,0.39,0.5,0.5,0.5,0.3,0.29,0.19,"('mig29', '_19_flyingBoat')",746
60,0.95,1853.15,bear,LIONESS,animals,0.85,0.89,0.28,0.28,0.28,0.92,0.9,0.74,"('bear', 'LIONESS')",151
61,0.8636363636363636,2971.5,face0005,face0003,faces,0.34,0.47,0.25,0.25,0.25,0.36,0.36,0.34,"('face0005', 'face0003')",991
62,0.9142857142857143,2498.8,_014,_033,chairs,0.68,0.49,0.58,0.58,0.58,0.97,0.94,0.93,"('_014', '_033')",485
63,0.8214285714285714,3362.1071428571427,_011,_033,chairs,0.52,0.3,0.29,0.29,0.29,0.48,0.51,0.48,"('_011', '_033')",450
64,0.9310344827586207,2530.4137931034484,LIONESS,GORILLA,animals,0.94,0.8,0.44,0.44,0.44,0.94,0.96,0.92,"('LIONESS', 'GORILLA')",75
65,0.9032258064516129,2903.1935483870966,_031,_008,chairs,0.84,0.29,0.48,0.48,0.48,0.75,0.77,0.71,"('_031', '_008')",501
66,0.9411764705882353,2748.0588235294117,rdbarren,_19_flyingBoat,planes,0.75,0.26,0.54,0.54,0.54,0.53,0.6,0.63,"('rdbarren', '_19_flyingBoat')",781
67,0.8518518518518519,2510.037037037037,face0008,face0005,faces,0.31,0.38,0.37,0.37,0.37,0.59,0.52,0.49,"('face0008', 'face0005')",1107
68,0.8888888888888888,3081.814814814815,face0005,face0001,faces,0.4,0.61,0.52,0.52,0.52,0.29,0.25,0.28,"('face0005', 'face0001')",981
69,0.8260869565217391,3209.478260869565,_05_future,f16,planes,0.78,0.8,0.47,0.47,0.47,0.84,0.84,0.79,"('_05_future', 'f16')",606
70,0.7692307692307693,2588.269230769231,_001,_011,chairs,0.92,0.72,0.75,0.75,0.75,1.0,1.0,0.99,"('_001', '_011')",296
71,0.9375,2218.71875,bear,ELEPHANT_M,animals,0.74,0.71,0.14,0.14,0.14,0.94,0.96,0.89,"('bear', 'ELEPHANT_M')",144
72,0.8,3689.68,junkers88,_19_flyingBoat,planes,0.53,0.21,0.52,0.52,0.52,0.69,0.62,0.56,"('junkers88', '_19_flyingBoat')",713
73,0.78125,3407.3125,_011,_031,chairs,0.6,0.36,0.34,0.34,0.34,0.95,0.98,0.95,"('_011', '_031')",446
74,0.7666666666666667,3969.266666666667,_05_future,junkers88,planes,0.17,0.2,0.45,0.45,0.45,0.5,0.61,0.56,"('_05_future', 'junkers88')",612
75,0.75,3397.25,_014,_008,chairs,0.47,0.33,0.48,0.48,0.48,0.74,0.83,0.68,"('_014', '_008')",465
76,0.7692307692307693,4187.923076923077,_01_Airliner_2jetEngines,junkers88,planes,0.46,0.43,0.69,0.69,0.69,0.86,0.77,0.64,"('_01_Airliner_2jetEngines', 'junkers88')",577
77,0.9615384615384616,2750.346153846154,LIONESS,bear,animals,0.95,0.61,0.6,0.6,0.6,0.99,1.0,1.0,"('LIONESS', 'bear')",85
78,0.9310344827586207,2252.689655172414,sopwith,f16,planes,0.82,0.43,0.82,0.82,0.82,0.99,0.99,0.99,"('sopwith', 'f16')",823
79,0.7857142857142857,4022.9285714285716,bear,GORILLA,animals,0.18,0.25,0.37,0.37,0.37,0.89,0.91,0.96,"('bear', 'GORILLA')",146
80,0.7948717948717948,3194.358974358974,f16,sopwith,planes,0.23,0.41,0.39,0.39,0.39,0.88,0.84,0.74,"('f16', 'sopwith')",697
81,0.9459459459459459,2411.6486486486488,GORILLA,blCow,animals,0.9,0.73,0.47,0.47,0.47,1.0,1.0,0.98,"('GORILLA', 'blCow')",56
82,0.7916666666666666,3397.75,_01_Airliner_2jetEngines,mig29,planes,0.33,0.54,0.37,0.37,0.37,0.38,0.33,0.26,"('_01_Airliner_2jetEngines', 'mig29')",580
83,0.9666666666666667,2584.9333333333334,_010,_001,chairs,0.61,0.34,0.65,0.65,0.65,0.93,0.88,0.78,"('_010', '_001')",386
